image_path,Recognized_text
/home/vantage/VideoStreamKafka/runs/detect/exp20/crops/anpr/image0.jpg,DISCASH
/home/vantage/VideoStreamKafka/runs/detect/exp20/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp21/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp22/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp23/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp24/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp25/crops/anpr/image0.jpg,DISCOUNT
/home/vantage/VideoStreamKafka/runs/detect/exp25/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp26/crops/anpr/image0.jpg,NATE NO.
/home/vantage/VideoStreamKafka/runs/detect/exp27/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp28/crops/anpr/image0.jpg,ITEM
/home/vantage/VideoStreamKafka/runs/detect/exp28/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp29/crops/anpr/image0.jpg,ITEM
/home/vantage/VideoStreamKafka/runs/detect/exp29/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp30/crops/anpr/image0.jpg,-RM
/home/vantage/VideoStreamKafka/runs/detect/exp30/crops/anpr/image02.jpg,NATIONAL
/home/vantage/VideoStreamKafka/runs/detect/exp31/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp34/crops/anpr/image0.jpg,MMSI VSU
/home/vantage/VideoStreamKafka/runs/detect/exp34/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp35/crops/anpr/image0.jpg,E NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp36/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp37/crops/anpr/image0.jpg,MASRYSL
/home/vantage/VideoStreamKafka/runs/detect/exp37/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp38/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp39/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp40/crops/anpr/image0.jpg,MMSI VSU
/home/vantage/VideoStreamKafka/runs/detect/exp40/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp41/crops/anpr/image0.jpg,ITEM'S
/home/vantage/VideoStreamKafka/runs/detect/exp41/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp42/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp43/crops/anpr/image0.jpg,@ NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp44/crops/anpr/image0.jpg,GSTS OGJ
/home/vantage/VideoStreamKafka/runs/detect/exp44/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp45/crops/anpr/image0.jpg,GSTS OGJ
/home/vantage/VideoStreamKafka/runs/detect/exp45/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp46/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp47/crops/anpr/image0.jpg,MMSI YSU
/home/vantage/VideoStreamKafka/runs/detect/exp47/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp48/crops/anpr/image0.jpg,GSTS CCJ
/home/vantage/VideoStreamKafka/runs/detect/exp48/crops/anpr/image02.jpg,MWSIVSU
/home/vantage/VideoStreamKafka/runs/detect/exp48/crops/anpr/image03.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp49/crops/anpr/image0.jpg,GSTS COUNT
/home/vantage/VideoStreamKafka/runs/detect/exp49/crops/anpr/image02.jpg,MWSIVSU
/home/vantage/VideoStreamKafka/runs/detect/exp49/crops/anpr/image03.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp50/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp50/crops/anpr/image02.jpg,MASI VSU
/home/vantage/VideoStreamKafka/runs/detect/exp51/crops/anpr/image0.jpg,MMSI YSU
/home/vantage/VideoStreamKafka/runs/detect/exp51/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp52/crops/anpr/image0.jpg,G CXIS OGJ
/home/vantage/VideoStreamKafka/runs/detect/exp52/crops/anpr/image02.jpg,MMSI VSU
/home/vantage/VideoStreamKafka/runs/detect/exp52/crops/anpr/image03.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp53/crops/anpr/image0.jpg,MMSI VSU
/home/vantage/VideoStreamKafka/runs/detect/exp53/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp54/crops/anpr/image0.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp54/crops/anpr/image02.jpg,MMSI VSU
/home/vantage/VideoStreamKafka/runs/detect/exp55/crops/anpr/image0.jpg,MMSI VSU
/home/vantage/VideoStreamKafka/runs/detect/exp55/crops/anpr/image02.jpg,NAI3 NRU
/home/vantage/VideoStreamKafka/runs/detect/exp55/crops/anpr/image03.jpg,GSTS OGJ
/home/vantage/VideoStreamKafka/runs/detect/exp56/crops/anpr/image0.jpg,GSTS OGJ
/home/vantage/VideoStreamKafka/runs/detect/exp56/crops/anpr/image02.jpg,MMSI VSU
/home/vantage/VideoStreamKafka/runs/detect/exp57/crops/anpr/image0.jpg,MASI VSL
/home/vantage/VideoStreamKafka/runs/detect/exp58/crops/anpr/image0.jpg,EXIS OGJ
/home/vantage/VideoStreamKafka/runs/detect/exp58/crops/anpr/image02.jpg,MMSI YSU
/home/vantage/VideoStreamKafka/runs/detect/exp59/crops/anpr/image0.jpg,MUST YSL
/home/vantage/VideoStreamKafka/runs/detect/exp60/crops/anpr/image0.jpg,MASRY'S
/home/vantage/VideoStreamKafka/runs/detect/exp61/crops/anpr/image0.jpg,GSTS OGJ
/home/vantage/VideoStreamKafka/runs/detect/exp62/crops/anpr/image0.jpg,MASRYSU
/home/vantage/VideoStreamKafka/runs/detect/exp62/crops/anpr/image02.jpg,GSTS OGJ
/home/vantage/VideoStreamKafka/runs/detect/exp63/crops/anpr/image0.jpg,GSTS OGJ
